Prefix, Date, Type, Value, Status 
rasp1, Mon Oct 20 19:51:40 2014, humidity, 58.00, 0 
rasp1, Mon Oct 20 19:51:40 2014, temperature, 37.50, 0 
rasp1, Mon Oct 20 19:52:40 2014, humidity, 58.60, 0 
rasp1, Mon Oct 20 19:52:40 2014, temperature, 37.50, 0 
rasp1, Mon Oct 20 19:53:40 2014, humidity, 55.80, 0 
rasp1, Mon Oct 20 19:53:40 2014, temperature, 37.50, 0 
rasp1, Mon Oct 20 19:54:40 2014, humidity, 58.40, 0 
rasp1, Mon Oct 20 19:54:40 2014, temperature, 37.40, 0 
rasp1, Mon Oct 20 19:55:40 2014, humidity, 56.40, 0 
rasp1, Mon Oct 20 19:55:40 2014, temperature, 37.30, 0 
rasp1, Mon Oct 20 19:56:40 2014, humidity, 56.00, 0 
rasp1, Mon Oct 20 19:56:40 2014, temperature, 37.30, 0 
rasp1, Mon Oct 20 19:57:40 2014, humidity, 57.80, 0 
rasp1, Mon Oct 20 19:57:40 2014, temperature, 37.30, 0 
rasp1, Mon Oct 20 19:58:40 2014, humidity, 53.60, 0 
rasp1, Mon Oct 20 19:58:40 2014, temperature, 37.20, 0 
rasp1, Mon Oct 20 19:59:40 2014, humidity, 52.90, 0 
rasp1, Mon Oct 20 19:59:40 2014, temperature, 37.20, 0 
rasp1, Mon Oct 20 20:00:40 2014, humidity, 50.50, 0 
rasp1, Mon Oct 20 20:00:40 2014, temperature, 37.10, 0 
rasp1, Mon Oct 20 20:01:40 2014, humidity, 49.50, 0 
rasp1, Mon Oct 20 20:01:40 2014, temperature, 37.10, 0 
rasp1, Mon Oct 20 20:02:40 2014, humidity, 52.20, 0 
rasp1, Mon Oct 20 20:02:40 2014, temperature, 37.00, 0 
rasp1, Mon Oct 20 20:03:40 2014, humidity, 53.60, 0 
rasp1, Mon Oct 20 20:03:40 2014, temperature, 37.00, 0 
rasp1, Mon Oct 20 20:04:40 2014, humidity, 54.20, 0 
rasp1, Mon Oct 20 20:04:40 2014, temperature, 36.90, 0 
rasp1, Mon Oct 20 20:05:40 2014, humidity, 55.40, 0 
rasp1, Mon Oct 20 20:05:40 2014, temperature, 36.90, 0 
rasp1, Mon Oct 20 20:06:40 2014, humidity, 57.20, 0 
rasp1, Mon Oct 20 20:06:40 2014, temperature, 36.90, 0 
rasp1, Mon Oct 20 20:07:40 2014, humidity, 56.70, 0 
rasp1, Mon Oct 20 20:07:40 2014, temperature, 36.90, 0 
rasp1, Mon Oct 20 20:08:40 2014, humidity, 54.20, 0 
rasp1, Mon Oct 20 20:08:40 2014, temperature, 36.80, 0 
rasp1, Mon Oct 20 20:09:40 2014, humidity, 53.00, 0 
rasp1, Mon Oct 20 20:09:40 2014, temperature, 36.80, 0 
rasp1, Mon Oct 20 20:10:40 2014, humidity, 53.70, 0 
rasp1, Mon Oct 20 20:10:40 2014, temperature, 36.70, 0 
rasp1, Mon Oct 20 20:11:40 2014, humidity, 53.70, 0 
rasp1, Mon Oct 20 20:11:40 2014, temperature, 36.70, 0 
rasp1, Mon Oct 20 20:12:40 2014, humidity, 56.20, 0 
rasp1, Mon Oct 20 20:12:40 2014, temperature, 36.60, 0 
rasp1, Mon Oct 20 20:13:40 2014, humidity, 55.80, 0 
rasp1, Mon Oct 20 20:13:40 2014, temperature, 36.60, 0 
rasp1, Mon Oct 20 20:14:40 2014, humidity, 56.60, 0 
rasp1, Mon Oct 20 20:14:40 2014, temperature, 36.60, 0 
rasp1, Mon Oct 20 20:15:40 2014, humidity, 57.50, 0 
rasp1, Mon Oct 20 20:15:40 2014, temperature, 36.60, 0 
rasp1, Mon Oct 20 20:16:40 2014, humidity, 50.30, 0 
rasp1, Mon Oct 20 20:16:40 2014, temperature, 36.50, 0 
rasp1, Mon Oct 20 20:17:40 2014, humidity, 52.90, 0 
rasp1, Mon Oct 20 20:17:40 2014, temperature, 36.40, 0 
rasp1, Mon Oct 20 20:18:40 2014, humidity, 54.40, 0 
rasp1, Mon Oct 20 20:18:40 2014, temperature, 36.40, 0 
rasp1, Mon Oct 20 20:19:40 2014, humidity, 52.50, 0 
rasp1, Mon Oct 20 20:19:40 2014, temperature, 36.30, 0 
rasp1, Mon Oct 20 20:20:40 2014, humidity, 52.70, 0 
rasp1, Mon Oct 20 20:20:40 2014, temperature, 36.30, 0 
rasp1, Mon Oct 20 20:21:40 2014, humidity, 55.20, 0 
rasp1, Mon Oct 20 20:21:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:22:40 2014, humidity, 57.30, 0 
rasp1, Mon Oct 20 20:22:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:23:40 2014, humidity, 55.20, 0 
rasp1, Mon Oct 20 20:23:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:24:40 2014, humidity, 58.00, 0 
rasp1, Mon Oct 20 20:24:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:25:40 2014, humidity, 58.70, 0 
rasp1, Mon Oct 20 20:25:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:26:40 2014, humidity, 57.40, 0 
rasp1, Mon Oct 20 20:26:40 2014, temperature, 36.30, 0 
rasp1, Mon Oct 20 20:27:40 2014, humidity, 57.80, 0 
rasp1, Mon Oct 20 20:27:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:28:40 2014, humidity, 59.30, 0 
rasp1, Mon Oct 20 20:28:40 2014, temperature, 36.30, 0 
rasp1, Mon Oct 20 20:29:40 2014, humidity, 58.80, 0 
rasp1, Mon Oct 20 20:29:40 2014, temperature, 36.20, 0 
rasp1, Mon Oct 20 20:30:40 2014, humidity, 58.30, 0 
rasp1, Mon Oct 20 20:30:40 2014, temperature, 36.20, 0 
