Prefix	Date	Type	Value	Status	nodeIP
rasp1	Tue Aug 26 11:29:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:30:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:31:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:32:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:33:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:34:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:35:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:36:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:37:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:38:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:39:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:40:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:41:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:42:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:43:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:44:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:45:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:46:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:47:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:48:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:49:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:50:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:51:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:52:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:53:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:54:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:55:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:56:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:57:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:58:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 11:59:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:00:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:01:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:02:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:03:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:04:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:05:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:06:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:07:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:08:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:09:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:10:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:11:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:12:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:13:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:14:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:15:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:16:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:17:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:18:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:19:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:20:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:21:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:22:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:23:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:24:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:25:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:26:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:27:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:28:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:29:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:30:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:31:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:32:17 2014	temperature	36	6	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:33:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:34:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:35:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:36:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
rasp1	Tue Aug 26 12:37:17 2014	temperature	36	2	[0#3#5#6#6#5#0#7]
